GENEID	gene	e14.5	e17.5	p0	p3	p7	p10	p14	p21
ENSMUSG00000041992	Rapgef5	1574.93	2243.24	2485.62	9244.65	7575.27	13604.08	14163.52	12496.49
ENSMUSG00000041995	Zbed3	330.6	297.65	345.28	229.57	277.59	208.39	176.34	150.93
ENSMUSG00000041997	Tlk1	3888.41	3812.92	4158.73	2399.69	2851.61	2333.94	2430.93	2445.38
ENSMUSG00000042010	Acacb	177.8	161.65	194.3	124.5	147.9	130.23	170.83	147.03
ENSMUSG00000042015	Wdr41	83.93	53.02	91.18	50.3	55.59	319.47	108.32	125.77
ENSMUSG00000042029	Ncapg2	4886.4	6848.46	8602.53	618.24	834.69	395.49	334.21	281.9
ENSMUSG00000042032	Mat2b	2528.9	2080.65	2356.4	2321.0	2047.28	1885.32	1622.68	1367.91
ENSMUSG00000042035	Igsf3	221.46	178.58	89.36	176.13	119.75	111.23	26.53	53.02
ENSMUSG00000042041	2010003K11Rik	1.76	0.96	0.53	1.05	0.47	1.19	2.3	0.31
ENSMUSG00000042042	Csgalnact2	101.98	85.2	84.72	64.82	42.59	35.53	45.19	51.96
ENSMUSG00000042043	Tbca	4136.97	3821.65	3906.87	3179.48	3073.25	3468.67	3012.5	2472.47
ENSMUSG00000042046	Dstyk	62.07	54.51	32.77	39.45	66.13	28.4	41.28	50.05
ENSMUSG00000042050	Wdr60	691.91	838.69	1368.25	3362.94	3510.62	3378.4	2424.36	2166.46
ENSMUSG00000042055	Wdr11	2438.77	2998.73	3171.62	3614.04	3802.54	3492.15	3596.16	3580.36
ENSMUSG00000042063	Zfp386	3660.39	3396.62	4984.11	4389.24	3927.8	4116.35	3467.03	3146.5
ENSMUSG00000042064	Myo3b	10.13	16.35	24.69	15.79	9.89	45.0	24.65	52.33
ENSMUSG00000042066	Tmcc2	479.25	1128.82	1548.26	5296.04	4852.38	4547.55	3486.76	3313.18
ENSMUSG00000042073	Abhd14b	113.83	115.61	111.73	244.44	220.35	252.26	237.04	403.81
ENSMUSG00000042078	Svop	132.01	141.21	114.58	184.48	215.46	258.15	249.36	199.74
ENSMUSG00000042079	Hnrnpf	6752.33	5753.48	6638.65	6214.19	6463.24	8737.74	9489.29	7369.58
ENSMUSG00000042082	Arsb	134.61	160.24	164.86	189.56	259.96	240.36	583.19	625.38
ENSMUSG00000042097	Zfp239	604.07	552.99	554.97	355.21	374.78	370.66	406.58	447.02
ENSMUSG00000042099	Kank3	194.47	345.13	466.94	190.0	182.75	261.68	213.17	264.88
ENSMUSG00000042102	Dmgdh	4.81	2.34	1.58	3.32	3.17	7.11	8.81	10.42
ENSMUSG00000042104	Uggt2	822.16	822.0	1081.16	688.66	660.63	691.53	829.51	939.69
ENSMUSG00000042105	Inpp5f	3176.34	4114.27	4832.09	5027.79	4148.86	5442.43	4744.1	3250.2
ENSMUSG00000042106	Inka1	108.9	83.72	90.33	83.6	96.02	118.4	75.72	50.91
ENSMUSG00000042109	Csdc2	716.55	1741.08	1218.17	1867.53	2146.14	2046.05	3050.56	2727.57
ENSMUSG00000042111	Ccdc115	2625.21	3478.77	3329.03	3091.11	3495.5	3368.01	2945.45	2909.43
ENSMUSG00000042115	Klhdc8a	1740.3	3716.51	2932.03	3221.46	3185.51	3498.0	5187.97	6050.57
ENSMUSG00000042116	Vwa1	141.91	132.9	159.63	749.39	739.77	1813.14	1745.81	971.79
ENSMUSG00000042118	Bhmt2	3.23	9.07	4.92	3.48	6.41	13.01	8.75	9.63
ENSMUSG00000042121	Ssh1	806.5	618.15	672.89	796.79	836.55	727.07	700.57	681.26
ENSMUSG00000042129	Rassf4	5936.94	3355.38	2758.74	529.87	647.05	671.31	1262.16	1185.13
ENSMUSG00000042133	Ppig	3521.94	3383.01	4637.55	3206.77	3001.27	3175.83	2802.53	2584.94
ENSMUSG00000042138	Msantd2	1251.63	1090.03	1273.19	792.91	678.95	680.88	441.79	454.36
ENSMUSG00000042148	Cox10	859.75	640.72	684.45	930.85	904.73	1037.32	960.03	971.17
ENSMUSG00000042155	Klhl23	5511.2	5658.46	6199.21	5484.58	5643.13	5802.08	5667.56	4705.27
ENSMUSG00000042156	Dzip1	1392.8	1721.55	1751.98	1447.31	1395.0	1926.75	1764.44	1436.39
ENSMUSG00000042167	Tent2	901.3	672.52	1047.76	586.79	547.74	598.05	592.45	551.94
ENSMUSG00000042178	Armc5	1061.35	1048.09	1096.02	1544.07	1572.21	1425.71	1026.52	894.05
ENSMUSG00000042182	Bend6	13.25	12.52	12.92	10.13	12.89	56.78	54.67	142.97
ENSMUSG00000042185	Nfrkb	568.02	742.44	559.97	561.31	627.8	532.99	419.5	483.45
ENSMUSG00000042190	Cmklr1	9.68	2.52	3.27	4.54	4.17	5.92	8.42	4.62
ENSMUSG00000042195	Slc35f2	122.2	84.92	101.49	171.01	128.08	202.52	160.69	158.24
ENSMUSG00000042197	Zfp451	4724.19	4385.61	3660.42	4209.39	4435.67	2901.18	3227.93	2452.76
ENSMUSG00000042198	Chchd7	620.75	519.84	812.08	631.04	521.11	577.83	596.57	614.78
ENSMUSG00000042200	Cdrt4	5.55	4.14	6.01	5.92	4.69	5.93	6.83	7.95
ENSMUSG00000042202	Slc35e2	2881.13	2708.61	3578.8	3894.0	3450.59	3385.36	3384.47	3171.71
ENSMUSG00000042203	Tbc1d22b	892.64	861.68	804.19	813.2	919.4	869.07	883.53	929.74
ENSMUSG00000042207	Kdm5b	6804.24	8082.07	5089.35	11820.32	12757.97	9724.71	10735.07	9997.55
ENSMUSG00000042208	0610010F05Rik	5607.74	6203.46	6074.14	4492.21	4477.03	4087.75	3552.31	3059.18
ENSMUSG00000042210	Abhd14a	1076.72	1307.53	1069.3	1160.91	1343.35	1115.55	1061.7	885.36
ENSMUSG00000042211	Fbxo38	4704.23	5130.9	5953.97	5359.31	5236.58	5109.84	4920.39	5207.07
ENSMUSG00000042213	Zfand4	196.85	334.36	410.97	142.81	169.39	178.82	106.23	128.67
ENSMUSG00000042215	Bag2	818.97	776.73	687.78	540.44	586.65	641.78	690.58	519.2
ENSMUSG00000042216	Sgsm1	165.36	169.3	189.64	50.37	55.34	50.94	46.5	40.7
ENSMUSG00000042225	Ammecr1	1285.81	1061.09	1097.21	859.9	1042.0	1121.4	1572.47	1315.28
ENSMUSG00000042228	Lyn	66.63	59.74	17.45	121.09	75.88	196.53	144.02	66.08
ENSMUSG00000042229	Rabif	1675.66	1787.63	1831.8	1859.67	2073.02	2234.64	2383.33	2568.28
ENSMUSG00000042246	Tmc7	206.75	163.6	170.16	117.3	135.46	152.77	211.58	208.76
ENSMUSG00000042249	Grk3	379.25	678.79	1127.71	950.5	903.06	979.28	1283.06	1948.72
ENSMUSG00000042251	Pm20d1	31.09	11.11	15.36	15.71	22.73	26.06	82.32	78.1
ENSMUSG00000042254	Cilp	6.74	6.48	14.27	36.29	36.43	23.68	35.45	31.39
ENSMUSG00000042256	Ptchd4	83.13	162.35	126.72	197.41	159.58	278.27	375.77	322.49
ENSMUSG00000042258	Isl1	531.14	275.59	156.09	392.61	297.58	756.61	512.37	285.18
ENSMUSG00000042268	Slc26a9	2.49	4.08	0.56	5.59	3.21	2.37	1.41	2.93
ENSMUSG00000042269	Fam92b	9.8	20.4	15.85	4.37	4.26	1.19	3.64	4.45
ENSMUSG00000042271	Nxt2	556.76	694.27	1094.18	1217.48	1162.66	1354.74	2070.04	2643.0
ENSMUSG00000042272	Sestd1	3446.73	3172.66	3406.45	2739.19	2537.37	2478.31	2090.27	1454.67
ENSMUSG00000042275	Pelo	707.63	724.36	688.41	593.6	597.9	614.58	573.57	650.65
ENSMUSG00000042282	Gucy2f	6.85	5.7	6.64	1105.84	1061.78	4460.7	13773.82	17133.45
ENSMUSG00000042284	Itga1	312.99	52.77	81.78	562.73	631.46	1386.76	1623.39	902.45
ENSMUSG00000042286	Stab1	198.39	35.36	27.72	37.42	65.22	71.04	59.81	54.18
ENSMUSG00000042289	Hsd3b7	56.12	30.44	29.82	13.77	12.65	10.65	15.39	20.71
ENSMUSG00000042292	Mrtfa	593.75	589.75	348.4	534.27	602.26	460.59	422.72	463.95
ENSMUSG00000042293	Gm5617	181.16	179.2	162.1	217.01	240.09	254.62	255.87	232.56
ENSMUSG00000042298	Ttc19	103.92	79.03	78.89	145.83	165.05	139.72	293.4	304.1
ENSMUSG00000042302	Ehbp1	2495.71	3028.56	3108.47	4499.72	4696.99	5254.05	4669.6	4925.15
ENSMUSG00000042303	Sgsm3	977.14	1313.61	1156.15	1299.79	1358.76	1348.77	1366.45	1324.5
ENSMUSG00000042305	Tmem183a	490.81	568.29	585.49	520.61	525.2	556.57	571.56	604.89
ENSMUSG00000042308	Setd1a	47.74	31.14	30.53	21.47	17.82	11.84	19.68	7.67
ENSMUSG00000042312	S100a13	58.44	68.65	89.87	144.92	99.97	168.16	158.6	193.92
ENSMUSG00000042320	Prox2	66.77	93.15	76.48	61.97	78.12	82.9	111.87	172.12
ENSMUSG00000042323	Pbrm1	13725.23	13479.74	12288.65	11571.31	11975.98	9602.42	9458.78	9033.93
ENSMUSG00000042328	Hps4	1133.1	1076.69	1112.58	1404.98	1527.87	1386.62	1384.29	1181.58
ENSMUSG00000042331	Specc1	1470.73	1149.91	1253.68	567.08	586.17	595.7	831.48	1537.78
ENSMUSG00000042333	Tnfrsf14	26.5	10.45	19.01	20.58	17.35	26.07	31.74	18.08
ENSMUSG00000042340	Ctf1	87.83	60.57	97.7	49.25	44.86	41.45	30.46	73.87
ENSMUSG00000042345	Ubash3a	89.02	72.19	41.95	42.77	32.78	24.87	27.02	27.54
ENSMUSG00000042348	Arl15	1789.41	1563.73	1426.98	2182.43	2032.2	2060.34	1638.97	1300.97
ENSMUSG00000042349	Ikbke	15.23	14.47	14.69	12.39	16.33	18.95	24.14	24.72
ENSMUSG00000042350	Arel1	407.25	308.49	499.92	289.5	427.19	483.19	518.41	358.33
ENSMUSG00000042353	Frem3	6.74	0.54	1.65	168.02	165.99	130.24	328.6	376.81
ENSMUSG00000042354	Gnl3	2716.32	2239.23	2391.04	912.89	917.48	783.91	645.2	778.25
ENSMUSG00000042359	Osbpl6	514.91	676.41	644.52	323.53	374.74	473.61	893.02	1146.16
ENSMUSG00000042363	Lgalsl	3436.94	6153.62	8199.41	18365.83	17363.46	23159.01	27983.16	29167.21
ENSMUSG00000042364	Snx18	3896.0	2816.85	2871.04	2764.54	2874.65	2618.19	2114.65	2046.97
ENSMUSG00000042369	Rbm45	3291.77	3313.15	3049.15	2945.28	2970.28	2932.12	2137.72	1661.64
ENSMUSG00000042371	Slc5a10	1.76	0.78	2.21	3.32	3.59	5.92	8.68	5.75
ENSMUSG00000042377	Fam83g	93.77	75.9	79.93	25.44	32.58	20.13	8.05	11.39
ENSMUSG00000042379	Esm1	79.39	7.43	12.62	38.07	39.53	24.88	15.2	27.81
ENSMUSG00000042380	Smim12	1066.76	1263.99	1355.48	1174.17	1187.59	1302.57	1304.53	1406.36
ENSMUSG00000042386	Tex13b	6.45	4.02	1.09	5.75	6.57	5.92	8.74	4.82
ENSMUSG00000042388	Dlgap3	81.77	256.06	176.73	263.69	180.39	198.94	216.63	253.42
ENSMUSG00000042389	Tsen2	1013.9	1078.08	1049.08	1014.29	1085.73	998.35	878.05	890.01
ENSMUSG00000042390	Gatad2b	1699.6	1447.02	2076.16	1829.03	1787.91	1588.01	1407.13	1111.73
ENSMUSG00000042396	Rbm7	3887.29	3880.77	5809.05	5049.65	5105.43	6715.64	8544.17	8873.96
ENSMUSG00000042401	Crtac1	83.64	643.69	458.82	1442.53	1681.87	1512.12	1769.52	1243.38
ENSMUSG00000042404	Dennd4b	956.14	1116.85	710.6	735.07	758.42	679.73	684.09	1019.54
ENSMUSG00000042406	Atf4	5277.81	6666.98	11407.86	12879.56	14043.53	14361.0	10660.56	12689.4
ENSMUSG00000042408	Zmym6	237.56	252.67	406.45	183.71	174.41	210.75	222.36	411.03
ENSMUSG00000042410	Agps	1210.17	962.05	949.32	720.77	719.14	729.5	712.64	710.65
ENSMUSG00000042417	Ccno	70.78	47.7	31.02	27.87	34.2	30.79	27.88	19.21
ENSMUSG00000042419	Nfkbil1	409.32	524.73	638.28	572.15	583.84	568.35	446.27	452.65
ENSMUSG00000042423	Fbrs	282.36	292.71	275.07	280.87	382.48	259.36	268.53	231.01
ENSMUSG00000042425	Frmpd3	44.96	34.64	28.43	66.51	59.58	36.72	109.73	154.8
ENSMUSG00000042426	Dhx29	3765.94	3478.12	2914.48	4094.29	3716.71	3533.6	3249.52	3213.43
ENSMUSG00000042428	Mgat3	2342.24	2524.96	2047.16	2466.88	2414.66	2515.15	3507.41	3848.96
ENSMUSG00000042429	Adora1	22.26	164.91	177.15	712.3	619.08	912.96	1998.32	3153.9
ENSMUSG00000042436	Mfap4	904.7	688.82	710.43	637.96	439.17	166.98	44.3	233.97
ENSMUSG00000042439	Zfp532	9906.36	11576.92	7926.42	7617.34	7811.32	7470.03	6764.54	6983.71
ENSMUSG00000042444	Mindy2	7714.09	5576.51	5509.85	6094.34	5725.54	6433.41	8349.13	10837.23
ENSMUSG00000042446	Zmym4	10721.53	8924.23	9603.12	10351.83	9302.48	9518.23	9232.68	9416.9
ENSMUSG00000042447	Mios	2096.48	2593.64	2857.59	2478.83	2683.25	2215.56	2101.08	1761.62
ENSMUSG00000042453	Reln	19406.44	17687.26	12285.5	18134.61	13134.96	12095.07	21710.49	20253.43
ENSMUSG00000042459	Bpifa2	7.02	2.46	2.78	2.27	2.46	2.37	1.15	1.28
ENSMUSG00000042460	C1galt1	1491.23	1028.0	1368.13	1095.39	1024.45	1038.5	1007.54	871.83
ENSMUSG00000042462	Dctpp1	2968.07	2430.65	2406.21	1127.8	1044.0	1185.53	753.68	727.32
ENSMUSG00000042472	Zfp410	1072.89	950.21	1053.88	746.96	773.96	590.83	543.63	612.53
ENSMUSG00000042473	Tbc1d8b	462.95	718.36	688.27	409.89	400.67	374.17	399.0	332.19
ENSMUSG00000042474	Fcmr	2.21	0.6	1.65	1.05	2.49	2.37	5.61	1.89
ENSMUSG00000042476	Abcb4	29.78	41.22	98.29	36.04	17.96	34.32	15.94	21.19
ENSMUSG00000042485	Mustn1	14.67	2.4	0.53	6.48	4.81	18.94	16.23	42.07
ENSMUSG00000042487	Leo1	3368.41	3754.03	3666.04	4716.89	4591.8	4364.92	3381.03	3199.76
ENSMUSG00000042489	Clspn	311.22	241.88	346.06	27.06	22.01	14.21	4.29	6.41
ENSMUSG00000042492	Tbc1d10b	3737.56	4037.28	3577.04	3746.35	4019.87	3386.87	3069.5	3508.54
ENSMUSG00000042496	Prdm10	964.92	912.83	823.01	643.1	743.44	609.78	577.36	598.94
ENSMUSG00000042498	Radx	117.63	75.28	86.68	9.96	9.62	2.37	4.15	1.92
ENSMUSG00000042499	Hoxd11	4.25	2.22	2.67	4.7	2.58	4.74	2.24	0.97
ENSMUSG00000042500	Ago4	1263.39	2116.93	1612.86	2975.61	3580.05	2767.54	2133.18	1776.47
ENSMUSG00000042501	Cpa6	29.11	31.24	16.86	21.96	15.12	34.35	36.04	32.27
ENSMUSG00000042502	Cd2bp2	6905.8	6360.34	7458.22	6384.74	6112.24	6022.6	5298.06	5430.0
ENSMUSG00000042505	Sdhaf3	503.82	594.37	667.44	557.33	603.24	564.89	577.72	573.05
ENSMUSG00000042506	Usp22	26748.46	22507.8	20591.91	24888.75	20954.12	18181.52	12519.31	10866.42
ENSMUSG00000042507	Elmsan1	362.5	418.28	187.62	222.46	302.77	123.22	196.64	226.49
ENSMUSG00000042508	Dmtf1	685.81	690.09	834.76	618.31	695.05	711.81	473.35	389.98
ENSMUSG00000042510	AA986860	25.6	41.9	37.56	46.58	42.94	72.21	127.86	238.78
ENSMUSG00000042514	Klhl14	7.36	5.03	16.72	15.81	9.86	11.83	2.05	3.31
ENSMUSG00000042515	Pwwp3b	2048.76	2016.93	2496.59	827.68	848.19	729.45	695.21	544.75
ENSMUSG00000042520	Ubap2l	3689.25	2953.62	2795.98	2634.5	2376.6	2192.99	1603.63	1606.62
ENSMUSG00000042523	Dnal1	950.47	1375.16	1120.97	2182.92	2558.7	2659.65	3443.57	3419.3
ENSMUSG00000042524	Sun2	1303.29	1721.55	1660.45	978.04	1051.18	479.62	435.23	715.72
ENSMUSG00000042532	Golga7b	642.3	991.55	845.47	1271.45	1193.74	1577.16	2366.49	2164.87
ENSMUSG00000042535	Gtpbp1	4498.34	5059.13	4302.12	10017.12	9331.35	9752.1	8414.7	8686.93
ENSMUSG00000042541	Sem1	4941.95	4926.01	5570.97	4375.44	4234.98	4338.93	3318.48	2662.06
ENSMUSG00000042548	Asxl1	6189.14	5036.1	3292.36	2223.09	2090.41	1661.21	1507.52	1665.08
ENSMUSG00000042557	Sin3a	4922.38	5692.11	4600.79	3886.19	4673.65	3769.16	3704.03	3859.69
ENSMUSG00000042558	Adprhl2	1981.57	1876.36	2107.1	1584.74	1544.34	1622.46	1406.37	1360.82
ENSMUSG00000042564	Fam227a	179.17	226.64	467.14	152.7	164.47	219.05	220.43	257.08
ENSMUSG00000042567	Nek10	15.8	12.42	9.09	20.41	15.52	20.14	37.93	97.36
ENSMUSG00000042569	Dhrs7b	161.52	155.15	134.6	148.07	136.89	103.0	138.03	121.66
ENSMUSG00000042570	Mier2	1417.49	1423.75	1569.02	2302.56	2322.45	3113.23	3434.37	2866.6
ENSMUSG00000042572	Ube2q1	1508.01	1430.23	1748.51	1703.14	1608.55	1611.69	1351.27	1731.1
ENSMUSG00000042581	Thsd7b	116.15	58.32	47.72	30.05	38.51	23.7	54.05	72.2
ENSMUSG00000042589	Cux2	1106.48	1256.37	785.69	912.92	1052.53	947.3	1318.62	1929.52
ENSMUSG00000042590	Ipo11	305.93	762.0	903.55	1306.32	1167.9	1255.12	1506.42	1396.31
ENSMUSG00000042594	Sh2b3	547.73	364.2	424.17	406.61	343.2	440.54	345.72	289.63
ENSMUSG00000042595	Fam199x	4599.76	4228.25	5224.58	4018.9	3994.14	3718.05	4376.48	4379.69
ENSMUSG00000042596	Tfap2d	698.32	995.74	735.41	357.74	353.18	329.2	275.67	285.01
ENSMUSG00000042599	Kdm7a	4390.43	6214.95	3525.66	6070.76	7481.7	4975.97	6236.96	6341.8
ENSMUSG00000042604	Kcna4	95.25	253.46	286.55	662.58	611.16	783.89	1189.63	1473.18
ENSMUSG00000042605	Atxn2	1142.35	1173.65	1023.69	814.67	1034.86	890.47	1158.03	1206.19
ENSMUSG00000042606	Hirip3	3109.52	4518.49	3415.94	982.84	1169.44	1352.3	1355.31	1354.59
ENSMUSG00000042608	Stk40	50.11	8.82	8.04	6.31	12.53	27.27	8.18	15.66
ENSMUSG00000042613	Pbxip1	1199.69	2215.55	2580.0	2808.11	2774.86	2757.86	2772.92	2995.9
ENSMUSG00000042616	Oscp1	1110.85	1185.53	1395.43	1417.63	1388.14	1719.52	1639.43	1393.56
ENSMUSG00000042622	Maff	177.83	211.58	113.87	36.83	29.76	40.28	29.01	30.22
ENSMUSG00000042625	Safb2	379.98	329.76	291.15	191.19	192.12	155.1	147.68	175.88
ENSMUSG00000042626	Shc1	2978.9	1091.44	1118.57	632.2	605.75	774.49	615.58	562.79
ENSMUSG00000042628	Zfyve1	3207.42	3557.91	4071.86	4423.86	4437.59	3755.15	3816.05	3871.13
ENSMUSG00000042631	Xkr7	991.2	891.75	558.53	297.45	311.74	368.26	361.99	320.13
ENSMUSG00000042632	Pla2g6	679.56	643.04	637.84	851.48	861.41	750.73	865.88	995.47
ENSMUSG00000042641	Rgsl1	9.51	6.84	4.21	5.59	5.94	10.66	19.35	20.4
ENSMUSG00000042642	Flad1	751.92	748.86	632.03	1039.4	1118.15	1130.9	937.43	1075.37
ENSMUSG00000042644	Itpr3	195.03	206.19	176.37	156.28	143.39	198.93	194.33	278.0
ENSMUSG00000042647	Acad12	9.4	17.53	19.08	24.16	21.62	18.94	24.58	21.76
ENSMUSG00000042650	Alkbh5	6630.59	8509.02	5220.78	6933.94	7143.42	5685.11	6148.86	7901.89
ENSMUSG00000042655	Shisal2b	2.78	7.02	10.82	26.0	15.83	14.21	62.67	98.51
ENSMUSG00000042659	Arrdc4	32.17	19.92	95.41	112.6	131.5	108.96	70.84	53.11
ENSMUSG00000042660	Wdr55	1510.01	1390.4	1450.8	938.08	964.32	1076.49	845.84	892.11
ENSMUSG00000042662	Dusp15	36.75	74.44	87.35	101.19	87.42	94.73	135.91	89.36
ENSMUSG00000042670	Immp1l	2582.29	2636.64	3035.83	2877.4	2702.62	3544.67	2503.21	2225.16
ENSMUSG00000042671	Rgs8	2634.92	3546.04	2338.26	3126.4	3237.71	4665.51	8372.12	9815.13
ENSMUSG00000042672	Dcst1	37.37	57.97	45.85	78.17	62.39	58.02	80.58	109.82
ENSMUSG00000042675	Ypel3	60.76	153.82	318.06	263.73	319.77	201.31	236.81	298.1
ENSMUSG00000042677	Zc3h12a	14.78	9.18	9.84	7.69	8.82	15.39	14.88	17.62
ENSMUSG00000042678	Myo15	24.63	15.31	11.38	11.83	6.56	8.28	18.6	10.2
ENSMUSG00000042680	Garem1	683.92	546.51	524.91	569.47	576.0	767.27	1269.19	1252.62
ENSMUSG00000042682	Selenok	3196.19	4029.75	4119.78	3985.13	4630.67	4454.83	4845.3	4770.37
ENSMUSG00000042684	Npl	960.49	1123.86	1419.47	866.96	826.64	1084.8	1069.53	814.79
ENSMUSG00000042686	Jph1	253.25	606.72	585.32	263.76	267.07	348.18	239.38	168.46
ENSMUSG00000042688	Mapk6	2484.96	2273.3	2232.23	2304.61	2595.21	1857.15	2098.35	2002.22
ENSMUSG00000042694	Stn1	69.36	65.51	37.79	66.62	26.78	67.47	80.17	92.26
ENSMUSG00000042699	Dhx9	3305.44	3216.48	2861.08	1884.99	2385.83	1756.07	2035.95	1413.68
ENSMUSG00000042700	Sipa1l1	2492.28	3804.26	3695.59	1997.73	1942.44	1832.01	1827.07	1891.61
ENSMUSG00000042705	Commd10	1987.61	1948.69	1745.44	1271.71	1339.47	1307.24	1280.91	1089.07
ENSMUSG00000042707	Dnali1	6.45	8.58	7.7	10.45	6.57	4.74	9.46	8.66
ENSMUSG00000042708	Shcbp1l	3.51	4.32	2.11	4.21	2.98	7.1	2.69	3.86
ENSMUSG00000042709	Atpaf2	873.92	815.13	1003.48	1082.06	1046.19	1261.18	1041.8	925.81
ENSMUSG00000042712	Tceal9	123.11	96.65	99.64	41.04	52.18	60.32	125.73	28.07
ENSMUSG00000042719	Naa25	673.04	673.75	631.74	697.17	640.92	537.67	646.87	495.14
ENSMUSG00000042724	Map3k9	678.38	766.0	742.51	492.2	557.0	448.75	399.83	443.79
ENSMUSG00000042726	Trafd1	841.34	959.31	1128.03	2375.62	2795.21	3618.73	3837.61	3802.11
ENSMUSG00000042729	Wdr74	300.08	303.54	437.98	298.04	321.93	273.62	238.11	189.14
ENSMUSG00000042734	Ttc9	1500.73	2089.87	1954.63	2361.88	2411.89	2316.17	3203.77	3203.59
ENSMUSG00000042737	Dpm3	855.78	1215.33	1223.55	1314.41	1344.22	1483.95	1015.61	884.72
ENSMUSG00000042742	Bmt2	4808.51	5435.64	3900.86	5395.08	4648.79	5655.91	5656.54	6036.28
ENSMUSG00000042743	Sgtb	16.48	19.92	20.8	53.06	39.8	78.15	39.27	43.49
ENSMUSG00000042744	Hectd4	276.86	210.8	166.75	181.61	168.11	176.5	264.37	224.88
ENSMUSG00000042745	Id1	3000.53	2909.23	2296.1	836.47	948.9	1216.28	1177.61	644.16
ENSMUSG00000042747	Krtcap2	923.63	1002.44	865.74	781.68	791.0	721.15	596.6	493.95
ENSMUSG00000042750	Bex2	5638.34	6949.46	7936.57	7963.07	7947.94	9353.62	9865.23	9001.28
ENSMUSG00000042751	Nmnat2	88.72	122.74	72.3	109.89	156.61	148.07	110.43	183.31
ENSMUSG00000042757	Tmem108	92.08	90.04	73.94	263.64	350.66	718.77	1038.39	1060.83
ENSMUSG00000042759	Apobr	22.76	14.71	13.07	11.18	15.17	26.05	26.37	26.24
ENSMUSG00000042761	Mrap2	5.1	23.95	29.79	48.92	46.48	53.29	92.63	127.97
ENSMUSG00000042763	Maneal	1389.02	1857.09	1672.28	3097.75	2954.23	3375.07	3444.49	4082.62
ENSMUSG00000042766	Trim46	275.21	267.52	251.36	158.03	134.55	91.16	116.87	146.74
ENSMUSG00000042770	Hebp1	310.21	156.82	165.98	96.56	86.76	146.87	141.11	127.58
ENSMUSG00000042772	Smg7	545.72	432.07	353.32	570.19	537.2	459.33	435.64	562.25
ENSMUSG00000042784	Muc1	18.01	9.43	16.3	4.7	4.81	10.66	4.98	15.42
ENSMUSG00000042787	Exog	740.77	772.8	905.46	677.71	734.9	570.77	613.56	533.38
ENSMUSG00000042788	Fam166b	4.81	2.76	3.3	2.1	2.38	1.18	4.15	6.46
ENSMUSG00000042790	Rnf214	2065.17	2115.69	1916.78	2237.53	2473.52	2151.67	2077.97	2240.39
ENSMUSG00000042797	Aqp11	250.36	318.89	249.61	472.11	452.92	596.79	652.55	774.81
ENSMUSG00000042801	Olfr769	126.79	107.69	82.07	86.76	80.82	80.53	88.16	92.8
ENSMUSG00000042804	Gpr153	2743.22	3044.01	2400.29	3544.54	3554.39	4413.24	5855.68	5729.57
ENSMUSG00000042807	Hecw2	666.67	429.26	313.97	543.97	434.37	463.0	686.89	699.33
ENSMUSG00000042808	Gpx2	6.45	6.24	1.65	4.7	3.87	5.92	6.51	1.92
ENSMUSG00000042810	Krba1	1438.91	1766.16	1566.57	1611.4	1710.37	1426.91	1513.08	1762.82
ENSMUSG00000042812	Foxf1	58.44	6.24	2.67	5.59	6.33	17.76	5.62	7.12
ENSMUSG00000042814	Mcts2	683.23	654.63	680.75	813.04	838.23	879.89	664.59	485.08
ENSMUSG00000042816	Gpr151	17.72	31.58	36.92	16.6	18.05	17.76	14.96	13.68
ENSMUSG00000042817	Flt3	0.74	7.98	10.89	11.9	11.33	9.48	16.42	15.35
ENSMUSG00000042821	Snai1	8.49	2.22	2.74	2.1	2.82	3.56	4.79	3.77
ENSMUSG00000042826	Fgf11	269.05	568.75	492.46	1292.03	1206.45	1155.76	1375.25	1991.0
ENSMUSG00000042828	Trim72	15.97	1.56	4.39	4.21	2.11	4.74	6.25	10.15
ENSMUSG00000042831	Alkbh6	246.73	207.13	303.13	334.12	324.54	497.41	493.31	570.85
ENSMUSG00000042834	Nrep	20046.45	24926.15	25615.92	48855.22	53017.52	43525.03	33221.56	22223.38
ENSMUSG00000042842	Serpinb6b	6.29	2.94	4.36	20.09	24.29	56.85	92.23	73.57
ENSMUSG00000042846	Lrrtm3	34.66	230.43	228.88	560.72	514.17	766.18	1001.67	927.47
ENSMUSG00000042848	Vmn1r226	22.65	19.5	18.73	22.75	15.45	22.51	21.33	19.49
ENSMUSG00000042851	Zc3h6	509.34	918.87	861.9	1006.55	1006.06	1031.33	1321.93	1595.16
ENSMUSG00000042854	Trp53rkb	502.24	474.93	463.9	461.01	455.44	421.55	333.42	324.14
ENSMUSG00000042870	Tom1	878.43	940.98	805.11	1243.93	1268.57	1264.74	1490.7	1663.0
ENSMUSG00000042873	Lhfpl4	2608.03	2534.81	3697.19	5355.48	3711.88	5308.49	3358.68	3451.08
ENSMUSG00000042894	Olfr1260	9.68	18.25	9.95	13.61	12.27	7.1	15.72	12.71
ENSMUSG00000042895	Abra	12.17	2.82	2.78	5.75	2.07	2.37	2.24	6.06
ENSMUSG00000042901	Aida	3757.04	3291.64	3369.1	1990.11	2190.78	2062.72	2251.48	2532.79
ENSMUSG00000042903	Foxo4	1244.73	1590.32	2142.47	856.72	939.46	583.83	485.32	599.53
ENSMUSG00000042909	Olfr648	59.63	59.92	53.33	32.08	28.12	34.34	37.45	39.49
